PAA,SAX,MCB
0.0025581973962000887,a,a
0.0028514610700666925,b,c
0.00264091017726673,b,b
0.0025630188421333746,b,b
-0.0026808269131334207,b,c
-0.0027613728873334196,a,a
-0.002780354849300071,c,b
-0.0028599345196000897,a,b
-0.002993723657266689,b,a
-0.002995554680266752,c,b
-0.002987640507233351,a,a
-0.0030981853515333457,a,a
-0.003119934153900026,a,b
-0.0029714458296000567,a,a
-0.0029197083188000693,a,c
-0.0028883972252667163,b,c
-0.0029608155219000287,b,c
-0.0029592590716999998,b,a
-0.00294203701610006,b,b
0.001035563175266674,a,c
0.0003549398439999977,c,a
0.0013736372819000166,a,c
0.0012367554227666845,b,b
0.001215688132633366,c,b
0.0008536071465666728,a,b
0.001230824868066681,a,b
0.0012321778742666845,a,c
0.0007205201010000035,a,c
0.0011638590307666778,a,c
0.0009224244056333361,b,a
0.0011097311153333489,b,b
0.0008801677574666729,b,a
0.0010947876316333414,b,b
0.001198374601733342,a,b
0.00315651479650004,c,b
0.0032373763487333297,a,a
0.0030414230032999763,b,a
0.0031779790368333784,c,c
0.003044881704300006,a,a
0.0032015182208000336,a,b
0.003153788663899989,a,b
0.0030132957523667067,a,a
0.003081319365233382,a,c
0.0031848553853000305,b,c
0.003078410350100007,b,a
0.0031011559171333835,b,c
0.0031558942753333696,b,a
0.003173869203466705,a,c
0.0031932884811666546,c,b
-0.0022518616036334067,a,b
-0.0023468021514667166,b,a
-0.002381439613866707,c,a
-0.0023625795079667542,a,c
-0.002337290455466764,a,a
-0.0023958235026000432,a,b
-0.0024307457240333795,a,c
-0.0024022014307334243,a,c
-0.002362966153433369,b,c
-0.002359965230033389,b,a
-0.0023455912464667205,b,b
-0.0023817444923000686,b,b
-0.002328694908333347,a,b
-0.0024013064913333978,c,a
-0.002384724989700109,a,c
-0.002362111260433472,b,b
-0.002370523966766791,c,c
-0.0023436481428001023,a,c
-0.0025006712696001416,a,c
-0.0024334918945334546,a,a
-0.0024318337551668063,a,c
-0.002451771990700152,a,a
-0.0025290933433668233,b,c
-0.0025182392342001578,b,a
-0.00252681467096687,b,c
-0.0024984536692668285,b,a
-0.0024333087920334535,a,b
-0.0024985248476001466,c,b
-0.0025762531554334904,a,a
-0.002537394107200147,b,a
-0.0016492716873333741,c,b
-0.001590738883633383,a,b
-0.0016034748934667174,a,b
-0.0015956623598667185,a,c
-0.001595458920866722,a,c
-0.0016233520192667282,a,c
-0.0016133219266333818,b,a
-0.0016056823492333924,b,b
-0.0016146749138334028,b,a
-0.0016154886649667325,b,a
-0.0015852355527000643,a,b
-0.0015779011718000517,c,a
-0.0015911864974000657,a,b
-0.0015800373510667133,b,a
-0.0015850219144000646,c,a
-0.0024321085685334253,a,a
-0.002525278894366754,a,b
-0.0025173340538667387,a,a
-0.0024133504280000823,a,c
-0.002416605871766709,a,b
-0.002392995226400099,b,b
-0.0023946025331000697,b,a
-0.0023636984371667525,b,b
-0.002374206532500084,b,c
-0.002384470749700096,a,a
-0.002416066573833409,c,b
-0.002493245642866706,a,a
-0.0024838461918667435,b,c
-0.002504353860166798,c,a
-0.0024825644601667277,a,a
-0.0024845277348667324,a,b
0.0009410808040333352,a,b
0.0010546672438333327,a,a
0.001031738420833336,a,b
0.0009428101240666702,b,a
0.00103582774976666,b,a
0.0008491720650333365,b,c
0.0008381348666666689,b,b
0.0009159241546333309,a,b
0.0009619243257999975,c,b
0.0007954404131000072,a,b
0.001144521256566672,b,a
0.0010072531463666697,c,c
0.0009420268882000053,a,c
0.0009965210726333386,a,b
0.0008982442476666685,a,c
0.0007888593653000031,a,a
0.0016751812130333815,a,c
0.0009801230873000073,b,a
0.001357767839766686,b,c
0.0012253622669333368,b,b
0.000955983643633333,b,c
0.0015470378163667047,a,c
0.000795420438233328,c,b
0.001454183130466686,a,b
0.0012245587267333462,b,a
0.0010539043359000003,c,b
0.0008574525044333429,a,c
0.0011065775243666667,a,c
0.001404470183466702,a,a
0.0009855755706333397,a,c
0.0031256307385666916,a,b
0.00305190026973331,b,b
0.00317818203809998,b,c
0.0031625061557999878,b,a
0.0032332764098333996,b,b
0.0032998869886333056,a,c
0.0031759543222333675,c,a
0.003246958468233379,a,b
0.0032792258738999795,b,a
0.0031701355591333418,c,b
0.003212361708100041,a,b
0.0031787923595333577,a,c
0.0031812134183333706,a,b
0.0032213542219333225,a,a
0.0031674398179666933,a,b
-0.0023965555478667605,b,a
-0.002305592853600082,b,b
-0.0023184712532667356,b,c
-0.0023006286528334365,b,c
-0.0023024698866667644,a,a
-0.0023621419208667426,c,b
-0.002361948664766771,a,b
-0.002351704926200086,b,c
-0.002342824295666766,c,c
-0.0023656209663667823,a,a
-0.002299224907833439,a,a
-0.002293528264833415,a,c
-0.002298868828466754,a,c
-0.0023040771919333957,a,b
-0.002273925811500108,b,c
0.0011534627142000215,b,c
0.001083953867566689,b,c
0.0010676269837000055,b,c
0.0010080770107333513,a,b
0.0009442545544333385,c,c
0.0009081319356333399,a,b
0.0010204467423666711,b,c
0.0009469299337666755,c,a
0.0009006143730666812,a,a
0.0008631490825000054,a,c
0.000830780026533338,a,c
0.0008865763201000103,a,c
0.0009118957816666751,a,a
0.0009425557809333431,b,c
0.0008895059961666722,b,a
0.0009093424446333414,b,c
0.003353190514366659,b,c
0.003317149294533328,a,b
0.0033300683563666595,c,a
0.003482401956733333,a,a
0.0033573102924333775,b,b
0.0032985640006333596,c,a
0.003433329637566635,a,b
0.0033553572354666234,a,b
0.0033167423611666527,a,a
0.0033517764620333472,a,a
0.003241841978999979,a,c
0.003363118927533344,b,c
0.0032875370256999995,b,a
0.003297180485733374,b,b
0.003324798982133399,b,c
-0.0022413633875000764,a,b
-0.002319284990933439,c,a
-0.0023642577254001287,a,c
-0.002428181906700149,b,a
-0.0025010172173334537,c,c
-0.0025843098369668018,a,b
-0.002554188970400152,a,c
-0.0025438536769334967,a,c
-0.0025792134171334523,a,b
-0.0026234129859334545,a,c
-0.0026211039076668103,b,c
-0.002607228497133471,b,c
-0.002588073683933446,b,b
-0.002567321668733454,b,a
-0.0025863036369668004,a,a
0.002314758587866724,c,c
0.002331166893300003,a,c
0.0023878379748000227,b,b
0.002598806095533339,c,a
0.0025928856361333522,a,a
0.002539795418800018,a,b
0.002848511131233341,a,a
0.002629130419266691,a,a
0.002576823246666663,a,b
0.002787760762066624,b,a
0.002656433470533359,b,b
0.002915141200933351,b,c
0.0027346704371000565,b,b
0.0028112797587667064,a,a
0.0027020165547999918,c,b
-0.0023428344343668106,a,b
-0.0024105224042001096,b,c
-0.0024886779164667904,c,b
-0.002471984850633428,a,a
-0.002461161217300105,a,a
-0.002429443258300106,a,b
-0.0024169107356001003,a,c
-0.0024019469581001156,a,c
-0.002527832011500127,b,c
-0.0025510863627001357,b,a
-0.0025591430565667706,b,c
-0.002460967957433422,b,a
-0.0024799193821668252,a,b
-0.0024342040400001023,c,a
-0.00258696485843344,a,c
0.0031593427892000216,b,b
0.003211029309300013,c,a
0.0032270306650667045,a,b
0.0032892053191666735,a,b
0.003235952046499958,a,c
0.003173472386066651,a,b
0.0032474370074666277,a,a
0.0033233138350666374,b,a
0.0033019208862999855,b,b
0.0031620688715333026,b,a
0.0031178899099333006,b,a
0.003262563395333245,a,c
0.0033133038792000154,c,c
0.003398722793466581,a,c
0.0035547489071333046,b,a
-0.0018364969556000582,c,c
-0.002079274499900098,a,b
-0.0022743937917334436,a,b
-0.002366485668500104,a,a
-0.0024591268711334087,a,b
-0.0023936666937333824,a,c
-0.0024167785365334115,b,a
-0.0023737487818334155,b,a
-0.0024387614963000794,b,b
-0.0024495850602667406,b,c
-0.0024650268922334125,a,b
-0.0024704386285667635,c,a
-0.002520782552566784,a,c
-0.002433186868466772,b,b
-0.0025142313829667993,c,a
0.0029627482899000565,a,b
0.0029999288386334273,a,b
0.003088745185100099,a,a
0.0030509338748667095,a,a
0.00298307289776675,a,a
0.0030387878887667454,b,c
0.003141225209866694,b,b
0.0030774638576666685,b,b
0.003103861549133411,b,c
0.003099823059733343,a,a
0.003095926989100062,c,b
0.003140197852900054,a,b
0.0031852824644333323,b,b
0.003145874058166754,c,a
0.003231343645166725,a,a
0.0031467489394667197,a,c
0.000944346292000005,a,a
0.0010843607963000091,a,b
0.0009930522354000063,a,c
0.0009218953976333319,b,c
0.0009704793462333389,b,a
0.0009455566376333383,b,a
0.001010925334066677,b,a
0.0009477336021666742,a,c
0.0009859416282333353,c,a
0.0008726604683666666,a,c
0.000871551554433349,b,c
0.0009601339934333495,c,a
0.0006292521494666674,a,b
0.0008608195142000129,a,b
0.0008763224527666748,a,c
0.0008315634517333414,a,c
0.0010404563282000023,a,a
0.0008713074590333368,b,b
0.0008976440514333389,b,a
0.0006245829294666687,b,c
0.0007003582174333367,b,b
0.0006157329205333389,a,a
0.0006722413109666683,c,b
0.0006103415038333314,a,b
0.0006346945464666664,b,a
0.0005953470932000003,c,c
0.0009647116860999953,a,b
0.0004356078381666678,a,a
0.0005276693200999997,a,b
0.0005283407071333341,a,a
0.0006625773571000045,a,a
0.002989644450533389,b,b
0.003038096113900106,b,a
0.0031189575489333926,b,a
0.0030312296258334388,b,a
0.0030469767706999902,a,a
0.003092427634133388,c,c
0.003030395673633321,a,a
0.0030248108561000673,b,a
0.00303585817580009,c,a
0.00301481124026669,a,b
0.0030788677982000667,a,b
0.003036997497933401,a,a
0.003100952214933438,a,c
0.0031439514500000093,a,c
0.0033435567666333984,b,c
0.0011606952462666848,b,a
0.0011145933207333516,b,b
0.001077534799266693,b,c
0.0011068622174333503,a,b
0.001093932887900026,c,c
0.0011419879004666992,a,b
0.0011553953091333724,b,c
0.0010455727453666875,c,a
0.0010520933170000218,a,b
0.00101695753180002,a,b
0.0011068011924333454,a,a
0.000998362097600023,a,a
0.0009850157736666868,a,c
0.0009216816342000137,b,b
0.0009026488214333404,b,c
0.0009194538764000106,b,a
-0.0025513915633001037,b,c
-0.0025908609474667695,a,c
-0.0026746012368667428,c,b
-0.002640869092800099,a,a
-0.002737101260400113,b,a
-0.0026381021504667604,c,b
-0.0026845601367667814,a,c
-0.0027296956364667455,a,a
-0.002732879622733463,a,b
-0.0027217203480000953,a,a
-0.0026869506705334734,a,b
-0.002708567280800096,b,a
-0.002672841342733417,b,b
-0.0026962076248667763,b,b
-0.002770284010700101,b,b
-0.0021805317567000944,a,c
-0.002230366984400076,c,a
-0.002301188108266749,a,b
-0.0022906290228001183,b,b
-0.0023043517915334183,c,a
-0.0023583068437667536,a,c
-0.002433247843200143,a,b
-0.0024185891194667586,a,b
-0.0023360391784667785,a,b
-0.0024041748298334444,a,a
-0.0024314371538334267,b,c
-0.0023751220114667545,b,c
-0.002439951480933402,b,c
-0.002469757110433429,b,c
-0.0024967651105334485,a,c
-0.002491882361833506,c,b
-0.0024449765221001914,a,a
-0.0024784950863002246,b,c
-0.002515289130033545,c,c
-0.0024928281243669546,a,b
-0.002505340350666999,a,c
-0.0024872840934003176,a,a
-0.0024397274851669826,a,b
-0.0024162493156002743,a,c
-0.0023670447658002197,b,c
-0.0024502256087669486,b,b
-0.002462056240466935,b,b
-0.0024770607029335947,b,a
-0.0024848121933002992,a,c
-0.0024951373433669414,c,b
-0.0025050962286669366,a,b
-0.002491882361833506,b,a
-0.0024449765221001914,c,b
-0.0024784950863002246,a,c
-0.002515289130033545,a,c
-0.0024928281243669546,a,c
-0.002505340350666999,a,a
-0.0024872840934003176,a,c
-0.0024397274851669826,b,c
-0.0024162493156002743,b,a
-0.0023670447658002197,b,b
-0.0024502256087669486,b,c
-0.002462056240466935,a,a
-0.0024770607029335947,c,c
-0.0024848121933002992,a,a
-0.0024951373433669414,b,b
-0.0025050962286669366,c,b
0.0030009157313000178,a,a
