Min,Med,Max,Class
-0.0189209,-0.002326324333,0.012207,0
-0.010376,-0.002396148565966667,0.043335,0
-0.0393677,-0.002429961993633333,0.0109863,0
-0.00946045,-0.0024971617686333335,0.0088501,0
-0.00793457,-0.0024064227447999995,0.00274658,0
-0.00915527,-0.0024582416528333337,0.00946045,0
-0.012207,-0.002504557153,0.0088501,0
-0.00854492,-0.002466756052333333,0.00854492,0
-0.0442505,-0.0024323728720333335,0.0137329,0
-0.012207,-0.0024043679293,0.00518799,0
-0.0106812,-0.002396962317066667,0.00488281,0
-0.00854492,-0.0023908588116666666,0.00762939,0
-0.00976562,-0.0024315794343333333,0.0134277,0
-0.0271606,-0.0024466653075,0.00488281,0
-0.055542,-0.0024439492583000003,0.137634,0
-0.0189209,-0.002326324333,0.012207,0
-0.010376,-0.002396148565966667,0.043335,0
-0.0393677,-0.002429961993633333,0.0109863,0
-0.00946045,-0.0024971617686333335,0.0088501,0
-0.00793457,-0.0024064227447999995,0.00274658,0
-0.00915527,-0.0024582416528333337,0.00946045,0
-0.012207,-0.002504557153,0.0088501,0
-0.00854492,-0.002466756052333333,0.00854492,0
-0.0442505,-0.0024323728720333335,0.0137329,0
-0.012207,-0.0024043679293,0.00518799,0
-0.0106812,-0.002396962317066667,0.00488281,0
-0.00854492,-0.0023908588116666666,0.00762939,0
-0.00976562,-0.0024315794343333333,0.0134277,0
-0.0271606,-0.0024466653075,0.00488281,0
-0.055542,-0.0024439492583000003,0.137634,0
-0.0234985,0.0029315084605666666,0.0509644,0
-0.0161743,0.002987589645766667,0.0592041,0
-0.0137329,0.0030136109665,0.0244141,0
-0.746155,0.002902282734866666,0.0875854,0
-0.0292969,0.003033772951533333,0.065918,0
-0.105591,0.0029778749857,0.295105,0
-0.0152588,0.0029793600328666668,0.0167847,0
-0.0534058,0.0030461732361,0.0317383,0
-0.0109863,0.0031168519201666663,0.0183105,0
-0.045166,0.0030939739791999996,0.166321,0
-0.0146484,0.003111643600266667,0.0189209,0
-0.0231934,0.0030524496845666664,0.108032,0
-0.0115967,0.0030004477237,0.112,0
-0.00793457,0.0030238546349333336,0.0228882,0
-0.0204468,0.003080515922533333,0.0317383,0
-0.0112915,0.0030833844066000004,0.0180054,0
-0.0927734,0.0031251122608333334,0.0222778,0
-0.109863,0.0031786401399333335,0.0296021,0
-0.0161743,0.0031151126578666663,0.0357056,0
-0.0228882,0.003166565212266666,0.0323486,0
-0.0164795,0.003168813480066667,0.0338745,0
-0.0302124,0.0032066654318666666,0.0341797,0
-0.299988,0.003206350024533333,0.265503,0
-0.0106812,0.0032107139944,0.0250244,0
-0.0271606,0.0032330630403999997,0.127563,0
-0.015564,0.003231689891933333,0.06073,0
-0.0521851,0.003193980235866667,0.0326538,0
-0.0616455,0.0030587160592000003,0.116882,0
-0.0424194,0.0034237162616000006,0.0485229,0
-0.0372314,0.0038871566530000005,0.0469971,0
-0.306702,0.003947571020933334,4.19922,0
-0.132751,0.003466655288266667,1.26923,0
-0.131226,0.0037380473320000004,1.38489,0
-0.0448608,0.0038029179951333332,0.0436401,0
-0.0338745,0.003909312277333333,0.039978,0
-0.0323486,0.0037474875380333335,0.0390625,0
