Min,Med,Max,apen,dfa,fft_mean,fft_max,fft_min,fft_variance,fft_skewness,fft_kurtosis,cwt_mean,cwt_max,cwt_min,cwt_variance,cwt_skewness,cwt_kurtosis,Class
-0.0189209,-0.002326324333,0.012207,1.2412189796534583,0.7823397289817358,0.0012206999999999995,2.1569848714301574,69.78972999,0.24103442169201936,173.85722282383495,30134.728480159964,0.0032899194222071443,0.013810658106846322,0.026758193392305098,4.925880308694706e-06,0.24502215190133658,4.8128588737205975,0
-0.010376,-0.002396148565966667,0.043335,1.2242227497173985,0.767068451288239,0.0009155270000000007,2.418715933740731,71.88445697899999,0.2552581461615365,175.47224649004593,30520.68950830876,0.0033886657994509034,0.056969047775787866,0.014026488309667892,5.2243538108681675e-06,3.0294319745153144,64.86638842971539,0
-0.0393677,-0.002429961993633333,0.0109863,2.1925146236321007,0.7790215221819412,0.0009155270000000002,2.20193663957375,72.898859809,0.2466887559243767,166.7729692807195,28511.530992233318,0.003436485207447425,0.01488961820212325,0.045100472585606025,4.336145723192589e-06,1.1425983587094732,28.566936612471732,0
-0.00946045,-0.0024971617686333335,0.0088501,2.199949752356411,0.7830742349096269,0.00030517600000000075,2.280239719103252,74.914853059,0.253545024692949,174.62348080542915,30317.49904073072,0.003531520040640845,0.011868553976978408,0.013163301848670038,4.135990410953814e-06,0.146095526971879,1.0838818262722878,0
-0.00793457,-0.0024064227447999995,0.00274658,2.214249237916092,0.7774613448810102,0.0024414100000000015,2.3211330495702875,72.19268234399999,0.23777020985431632,172.28527701170935,29777.467230614413,0.0034031956824992497,0.0036684629097279973,0.01057379903421897,3.969993747054735e-06,0.05383146383588587,0.009593698409731122,0
-0.00915527,-0.0024582416528333337,0.00946045,2.19991374987546,0.7663238185315989,0.00183105,1.9601901168765854,73.74724958499999,0.2456995766012172,172.87956878822914,29916.654121131163,0.0034764786850273537,0.012947514072255339,0.012515924377290316,3.9978292710210946e-06,0.1256252087233127,1.2345746173761905,0
-0.012207,-0.002504557153,0.0088501,2.1976787751105427,0.7717781251530892,0.001525880000000001,2.8305003971026754,75.13671459,0.2543242837176563,177.25837047546634,30945.314359729422,0.003541978693511147,0.011868553976978408,0.015968592439535804,4.113825023303612e-06,0.21830454356886766,1.7226544391300038,0
-0.00854492,-0.002466756052333333,0.00854492,2.1838903010727186,0.8036807469464682,0.001220699999999999,2.717085832609747,74.00268157,0.24565645388959878,171.5541974924514,29608.45730701922,0.003488519864275716,0.011868553976978408,0.011652759129495899,3.925403510435652e-06,0.27902532483699694,1.6357869742471074,0
-0.0442505,-0.0024323728720333335,0.0137329,1.2219413661379184,0.7791912674757068,0.00305176,3.200568864295907,72.97118616099999,0.27805376273384963,172.61714786813207,29853.77446797829,0.0034398947043779373,0.01855808818291906,0.0593428052402311,6.382182974884001e-06,2.6172309726232603,49.713061772610885,0
-0.012207,-0.0024043679293,0.00518799,2.1958395628920195,0.7782985722456405,0.003967290000000001,2.974421359909663,72.131037879,0.23347043408673981,170.76499479902714,29426.05111888224,0.003400289734550975,0.007121130971973482,0.016400139708093953,3.7147777551264547e-06,0.028511928133900938,0.2887561008616184,0
